"Data de referência dos dados: 04 de setembro de 2020","","","","","","","","","","","","","",""
"Empreendimento","Tipo","Status","UF","Potência","Curso d'água","Sub-bacia","Processo","Resolução","Empreendedores","Ato","Data ato","Validade ato","Latitude Eixo Barramento","Longitude Eixo Barramento"
"Itapocuzinho III","PCH","DRS-PCH","SC","5.8","Itapocuzinho","Cachoeira, Sao Joao e outros","48500.003026/2010-85","875/2020","Delmax Papelão e Embalagens Ltda. ","2.752/2019 (Cautelar nº 1936/2019)","","","26°19'20,42""S","49°8'42,92""W"
"Itararé","PCH","DRS-PCH","SC","9.4","Caveiras","Canoas","48500.001086/2013-14","875/2020","Estelar Engenheiros Associados Ltda.; Itararé Energética S.A.; ","1701","6/13/2019","6/20/2022","27°43'39,3""S","50°33'53,8""W"
"J13","PCH","DRS-PCH","SC","5.1","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.006165/2017-37","875/2020","MSUL Energias Renováveis Ltda. ","1.403/2019 (Comunicado nº 04/2020)","","","26°57'32,74""S","51°7'19,32""W"
"Jaborandi","PCH","DRS-PCH","PA","22","Cupari (Igarapé Santa Cruz)","Tapajos","48500.000816/2013-51","875/2020","CIENGE Engenharia e Comércio Ltda. ","1.410/2017 (Cautelar nº 1936/2019)","","","4°25'29""S","55°29'4""W"
"Jaçanã Alta","PCH","DRS-PCH","MT","7.7","São Francisco de Paula","Alto Paraguai","48500.004233/2015-61","875/2020","Sérgio Luiz Pizzatto ","1.436","5/21/2020","4/11/2023","14°24'10""S","56°51'3""W"
"Jacaré do Caiapó","PCH","DRS-PCH","GO","26","Caiapó","Alto Araguaia e rio Claro","48500.003926/2006-10","875/2020","Jacaré Energética S.A. ","2833","10/17/2019","6/8/2022","16°22'1,36""S","51°25'8,93""W"
"Jamanxim","UHE","Registro Ativo","PA","881","Jamanxim","Tapajos","48500.004335/2009-39","875/2020","Consórcio Tapajós: Centrais Elétricas Brasileiras - S.A., Centrais Elétricas do Norte do Brasil S.A. – Eletronorte, Construções e Comércio Camargo Corrêa S.A. - CCCC, Eletricité France S.A. - EDF, CEMIG Geração e Transmissão S.A. - CEMIG GT, COPEL Geração ","1.448","5/25/2020","12/31/2021","5°38'48""S","55°52'38""W"
"Jambo","PCH","DRI-PCH","RJ","13.6","Grande","Paraiba do Sul","48500.000105/2020-14","875/2020","Siton do Brasil Eireli ","551","2/21/2020","4/21/2021","21°59'0""S","42°7'0""W"
"Jaquirana","PCH","DRI-PCH","RS","6.19","Rio Camisas","Taquari","48500.006038/2019-08","875/2020","CEG – Companhia Energética Gaúcha ","1.919","7/3/2020","9/3/2021","28°52'3,4""S","50°18'48""W"
"Jatobá","UHE","Aceito","PA","1649.92","Tapajós","Tapajos","48500.004333/2009-40","875/2020","Centrais Elétricas Brasileiras S.A. – Eletrobras, Centrais Elétricas do Norte do Brasil S.A. – Eletronorte, Construções e Comércio Camargo Corrêa S.A., EDF Consultoria em Projetos de Geração de Energia Ltda., Eletricité de France S.A. – EDF, Cemig Geração ","4.394","1/2/2018","","5°11'15""S","56°55'17""W"
"Jatobá","PCH","Aceito","MG","9.87","Santa Cruz","Urucuia - Sao Francisco","48500.001839/2012-01","875/2020","RBO Energia S.A. ","287","2/5/2013","","16°31'49""S","45°54'32""W"
"Jequié","UHE","DRS-UHE","BA","40","das Almas ou Jequié","Jequirica, Paraguacu e outros","48500.003692/2015-28","875/2020","L&S PAR Ltda. e Flora Agro Negócio Ltda.; Flora Agronegócio Ltda; ","975","4/4/2019","4/4/2022","13°37'28,93""S","39°11'4,07""W"
"João Borges","PCH","DRS-PCH","GO","13","Doce","Paranaiba","48500.000048/2011-74","875/2020","FR Incorporadora Ltda. ","776","3/19/2020","1/6/2023","18°8'42,61""S","51°8'35,74""W"
"João Grande","PCH","DRS-PCH","GO","13","Doce","Paranaiba","48500.000047/2011-20","875/2020","FR Incorporadora Ltda. ","776","3/19/2020","1/6/2023","17°52'6,887""S","51°21'39,418""W"
"João Paulo","PCH","DRS-PCH","PR","6.3","Alonzo ou do Peixe","Parana, Paranapanema, Amambai e outros","48500.002303/2016-28","875/2020","Energética Rio Alonzo Ltda. ","3597","10/30/2017","10/30/2020","24°10'51,42""S","51°17'40,52""W"
"Juá","PCH","DRI-PCH","MG","5.325","Glória","Paraiba do Sul","48500.001179/2020-60","875/2020","Juá Energia S.A. ","1.031","4/13/2020","6/15/2021","20°50'42,48""S","42°19'34,97""W"
"JUI-008 (Nambikwara)","UHE","Registro Ativo","MT","73","Juína","Tapajos","48500.006008/2019-93 E 48500.006297/2019-21","875/2020","Sollo Energia S.A e IDEC Empreendimentos Hidrelétricos Ltda ","42 (Pub. 09/01/2020) E 187 (Pub. 29/01/2020)","","","12°41'19,45""S","58°59'1,21""W"
"JUI-029b (Foz do Formiga Baixo)","UHE","Registro Ativo","MT","107","Juina","Tapajos","48500.005383/2019-16","875/2020","Pan Partners Administração Patrimonial Ltda ","3.090","11/11/2019","11/8/2021","12°47'36,81""S","59°4'34,54""W"
"Juína I","PCH","DRS-PCH","MT","6","Juína","Tapajos","48500.004913/2018-28","875/2020","FB - Balestrin Construções e Engenharia Ltda. ","2.155","7/27/2020","7/27/2023","13°53'1,47""S","59°22'47,01""W"
"Juruena","UHE","DRS-UHE","MT","50","Juruena","Tapajos","48500.003358/2005-40","875/2020","Maggi Energia S.A. ","1686","8/7/2018","8/7/2021","13°24'5""S","59°0'27""W"
"Kaingang","PCH","DRS-PCH","SC","9","Chapecozinho","Uruguai, Chapeco,Passo Fundo e outros","48500.001519/2009-47","875/2020","Enerbios Consultoria em Energias Renováveis e Meio Ambiente Ltda. ","1021","5/10/2018","9/29/2021","26°45'45""S","52°29'25""W"
"Km 14","PCH","DRS-PCH","PR","6","dos Patos","Parana, Paranapanema, Amambai e outros","48500.001523/2009-13","875/2020","Enerbios Consultoria em Energias Renováveis e Meio Ambiente Ltda. ","1.380","7/5/2018","9/14/2021","25°6'20""S","50°55'42""W"
"Km 19","PCH","DRS-PCH","PR","10","dos Patos","Parana, Paranapanema, Amambai e outros","48500.001522/2009-61","875/2020","Enerbios Consultoria em Energias Renováveis e Meio Ambiente Ltda. ","2.631","9/14/2018","9/14/2021","25°8'58""S","50°56'48""W"
"Lagoão","PCH","DRS-PCH","RS","6","Jacuizinho","Alto Jacui","48500.001079/2015-76","875/2020","Lagoão Empreendimentos em Energia Ltda. ","014","1/3/2019","1/26/2022","29°12'32,47""S","53°5'41,35""W"
"Laguna","UHE","Aceito","GO","36","Maranhão","Tocantins, entre os rios Preto e Parana","48500.006145/2008-75","875/2020","Minas PCH S.A. ","1.826","4/29/2011","","14°40'50""S","48°49'13""W"
"Laje","PCH","DRS-PCH","MG","13.2","Novo","Paraiba do Sul","48500.003826/2016-91","875/2020","Laje Geração de Energia Ltda. ","784","4/10/2018","4/10/2021","21°28'36""S","43°3'26""W"
"Laje do Prata","PCH","DRI-PCH","GO","8","Aporé","Paranaiba","48500.003639/2020-94","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; Frigorífico Nutribrás S.A.; ","2.182","7/28/2020","9/28/2021","18°43'7""S","52°20' 50""W"
"Lajeadão III","UHE","DRI-UHE","PR","46.8","Ivaí","Parana, Paranapanema, Amambai e outros","48500.003036/2020-92","875/2020","Paineira Participações e Empreendimentos Ltda. ","1.830","6/26/2020","8/26/2021","24°02'49,5""S","51°37'13,3""W"
"Leão","PCH","DRS-PCH","RS","6.2","Leão","Pelotas","48500.005925/2013-65","875/2020","Central Elétrica Caibi Ltda. ","773","3/19/2020","11/29/2022","28º08’39”S","50º54’41”W"
"Leão","PCH","DRS-PCH","SC","6.5","Irani","Uruguai, Chapeco,Passo Fundo e outros","48500.004811/2013-06","875/2020","Leão Energia Ltda. ","1.917","7/7/2020","5/10/2023","27°05’05,46”S","52°29’15,83”W"
"Lebon Régis","PCH","DRI-PCH","SC","5.64","dos Patos","Canoas","48500.004939/2019-57","875/2020","RTK Engenharia Ltda. ","2.866","10/23/2019","12/23/2020","27°0' 8""S","50°40'55""W"
"Limeira","PCH","DRS-PCH","MG","14","Suaçuí Grande","Doce","48500.006939/2007-58","875/2020","Minas PCH S.A. ","2.213","7/31/2020","6/25/2023","18°34'42""S","41°56'7""W"
"Linha Carvalho","PCH","DRS-PCH","RS","5.35","Pardo","Alto Jacui","48500.004583/2011-02","875/2020","Três Fronteiras Geração de Energia Ltda. ","2317","10/15/2018","10/15/2021","29°24'18,59""S","52°45'26,45""W"
"Linha Onze Oeste","PCH","DRS-PCH","RS","15.52","Ijuí","Uruguai, Ijui, piratinim e outros","48500.005955/2013-71","875/2020","Linha Onze Oeste Energia Ltda ","1.218","5/5/2020","3/3/2023","28º21’04’’S","54º00’16,71’’W"
"Linha Pinhal","PCH","DRS-PCH","RS","5.2","Pardo","Alto Jacui","48500.004575/2011-58","875/2020","Três Fronteiras Geração de Energia Ltda. ","2316","10/15/2018","10/15/2021","29°22'2,95""S","52°44'46,07""W"
"Linha Tafona","PCH","DRS-PCH","RS","11.1","Turvo","Taquari","48500.000961/2013-32","875/2020","Vale do Turvo Hidrelétrica Ltda. ","3.229","11/26/2019","1/25/2023","28°40'46,629""S","51°26'53,563""W"
"Lírio","PCH","DRS-PCH","MT","14","Ariranha","Alto Paraguai","48500.001299/2011-76","875/2020","RBO Energia S.A. ","1363","6/12/2019","6/12/2022","17°37'59""S","53°35'48""W"
"Lixiguana","PCH","DRS-PCH","RS","9","Ituim","Taquari","48500.002222/2016-28","875/2020","Vale do Turvo Hidrelétrica Ltda. ","2959","9/18/2017","9/18/2020","28°38'14,396""S","51°23'50,415""W"
"Lombo do Cavalo","PCH","DRS-PCH","SC","5.6","das Antas","Uruguai, Varzea, Turvo e outros","48500.002527/2012-14","875/2020","Lombo do Cavalo S.A Geração Elétrica ","41","1/9/2020","11/22/2022","26°31'6""S","53°24'25""W"
"Macaé","PCH","DRS-PCH","RJ","17.7","Macaé","Litoraneas do Rio de Janeiro","48500.004085/2015-85","875/2020","Ipar Participações Ltda. ","362","2/20/2018","2/20/2021","22°24'3,58""S","42°12'55,24""W"
"Machado","PCH","DRS-PCH","MG","12.25","Uberabinha","Paranaiba","48500.005215/2013-35","875/2020","R3 Engenharia e Consultoria S/S; Imagem Sistemas de Informação Ltda.; ","758","4/10/2018","4/10/2021","18°38'24,93''S","48°31’12,61""W"
"Malacara","PCH","DRS-PCH","SC","10.5","Lava Tudo","Pelotas","48500.005067/2011-97","875/2020","Msul Energias Renováveis Ltda.; Trix Engenharia Civil Ltda.; ","3.448","12/16/2019","1/11/2023","28°8'43""S","50°6'44""W"
"Mambucaba","UHE","DRI-UHE","SP/RJ","44.95","Mambucaba e da Onça","Litoraneas do Rio de Janeiro","48500.000157/2019-49","875/2020","EBDE Energia S.A. ","218","2/4/2019","4/4/2020","22°51'51,19""S","44°35'56,45""W"
"Mangaratiba","PCH","DRS-PCH","PA","20","Cupari (Cupari Braço Leste)","Tapajos","48500.000814/2013-62","875/2020","CIENGE Engenharia e Comércio Ltda. ","1.402/2017 (Cautelar nº 1936/2019)","","","4°12'23""S","55°1'27""W"
"Mantiqueira","PCH","DRS-PCH","SC","7","Pelotas","Pelotas","48500.001200/2015-60","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda. ","2307","8/11/2017","8/11/2020","28°21'33,4""S","49°44'47,2""W"
"Marabá","UHE","Aceito","MA/PA","2160","Tocantins","Tocantins, entre o rio Araguaia e a foz","48500.000177/2001-65","875/2020","Centrais Elétricas do Norte do Brasil S.A. –  Eletronorte; Construções e Comércio Camargo Corrêa S.A.; ","1.141","4/10/2012","","5°18'46,79""S","49°2'12,17""W"
"Marambaia","PCH","DRS-PCH","MG","8.5","Pardo","Grande","48500.001578/2016-44","875/2020","DME Energética S.A. - DMEE ","1.218","5/5/2020","3/16/2023","21°43'54,43""S","46°24'36,75""W"
"Maranhão","UHE","Registro Ativo","GO","125","Maranhão","Alto Tocantins e rio Preto","48500.004316/2001-10","875/2020","FURNAS-CENTRAIS ELÉTRICAS S.A ","3.164","12/31/2018","12/31/2020","15°7'10,962""S","48°37'36,15""W"
"Maratana","PCH","DRI-PCH","PR","6.8","São Francisco Falso Braço Norte ou Corvo Branco","Parana, Paranapanema, Amambai e outros","48500.005489/2019-10","875/2020","Acasel Acabamento e Segurança Ltda; Construnível Energias Renováveis Ltda; ","3.201","11/21/2019","1/21/2021","24°53'58,87""S","54°0'47,44""W"
"Marema","PCH","DRS-PCH","SC","9","Chapecozinho","Uruguai, Chapeco,Passo Fundo e outros","48500.007837/2008-31","875/2020","Enerbios Consultoria em Energias Renováveis e Meio Ambiente Ltda. ","3181","12/28/2018","12/28/2021","26°47'50""S","52°34'53""W"
"Maria Beatriz","PCH","DRS-PCH","PR","12","Açungui","Ribeira do Iguape","48500.003380/2014-33","875/2020","Translead Empreendimentos; Incorporações Ltda.; ","773","3/19/2020","11/30/2022","24°56'17""S","49°28'33""W"
"Maria Theresa","PCH","DRS-PCH","PR","8.197","Alonzo ou do Peixe","Parana, Paranapanema, Amambai e outros","48500.002329/2016-76","875/2020","Energética Rio Alonzo Ltda. ","3.826","11/24/2017","11/24/2020","24°27'15,4""S","51°0'6,18""W"
"Matão Novo","PCH","DRS-PCH","MA","19","das Balsas","Parnaiba","48500.003614/2015-23","875/2020","Atiaia Energia S.A. ","2.523","9/1/2020","7/6/2023","7°35'49,66""S","46°3'34,73""W"
"Mateus José","PCH","DRS-PCH","MG","11","Abaeté","Das Velhas - Sao Francisco","48500.003946/2008-89","875/2020","LH Engenharia e Mineração Ltda.; Lig Móbile Telecomunicações Ltda.; ","3124","12/28/2018","9/21/2021","18°5'30""S","45°19'38""W"
"Matrinchã Alta","PCH","DRS-PCH","GO","20","Claro","Alto Araguaia e rio Claro","48500.003320/2014-11","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A. ","2.801","10/14/2019","12/14/2022","16°2'8,54""S","51°10'17,93""W"
"Mauá","PCH","DRS-PCH","MG","5.35","Ribeirão Jordão","Paranaiba","48500.000034/2014-01","875/2020","Autazes Empreendimentos e Participações Ltda. ","3.585","12/19/2019","8/18/2022","18°39'11""S","48°6'15""W"
"Meia Ponte","PCH","DRS-PCH","GO","22","Meia Ponte","Paranaiba","48500.005558/2010-57","875/2020","Minas PCH S.A.; Celg Geração & Transmissão S.A.; Sonnen Empreendimentos e Participações Ltda.","1.218","5/5/2020","1/17/2023","18°23'32""S","49°36'46""W"
"Membeca IX","PCH","DRS-PCH","MT","5.7","Membeca","Tapajos","48500.005923/2017-08","875/2020","Global Energia Elétrica S.A. ","1.352","5/15/2020","5/15/2023","13°8'46,6""S","57°38'22,08""W"
"Membeca V","PCH","DRS-PCH","MT","8.1","Membeca","Tapajos","48500.000135/2016-36","875/2020","Global Energia Elétrica S.A. ","1.405","5/19/2020","5/21/2023","13°0'36,6""S","57°32'20,29""W"
"Membeca VI","PCH","DRS-PCH","MT","5.4","Membeca","Tapajos","48500.000137/2016-25","875/2020","Global Energia Elétrica S.A. ","1.350","5/15/2020","5/15/2023","13°3'44,49""S","57°36'17,74""W"
"Membeca VIII","PCH","DRS-PCH","MT","5.9","Membeca","Tapajos","48500.005913/2017-64","875/2020","Global Energia Elétrica S.A. ","1.351","5/15/2020","5/15/2023","13°6'5,28""S","57°36'45,09""W"
"Minucci","PCH","DRS-PCH","PR","7","Andrada","Parana, Iguacu","48500.004533/2015-41","875/2020","Hidrelétrica Minucci SPE S.A ","3.504","10/19/2017","10/19/2020","25°15'31,17""S","53°25'37,17""W"
"Mirador","UHE","Registro Ativo","GO","106","Tocantinzinho","Alto Tocantins e rio Preto","48500.003852/2001-62","875/2020","Furnas Centrais Elétricas S.A.; RC Administração e Participações S/A; ","1.847","7/10/2019","12/31/2020","14°17'53,838""S","47°55'29,034""W"
"Mocambo","PCH","DRS-PCH","GO","5.8","do Peixe","Paranaiba","48500.003152/2011-11","875/2020","FR Incorporadora Ltda. ","29","1/8/2020","11/25/2022","17°5'52,623""S","48°33'29,846""W"
"Mombuca","PCH","DRS-PCH","GO","7.8","Doce","Paranaiba","48500.000042/2011-05","875/2020","FR Incorporadora Ltda. ","776","3/19/2020","1/6/2023","18°17'12""S","51°07'59""W"
"Monte Alegre","PCH","DRS-PCH","RS","9.4","Quebra Dentes","Taquari","48500.004002/2018-09","875/2020","Energética Quebra Dentes S.A. ","2.776","10/11/2019","10/11/2022","28°45'22""S","50°55'25""W"
"Monte Alegre","PCH","DRS-PCH","RJ","16","Piabanha","Paraiba do Sul","48500.002920/2018-95","875/2020","Maxxima Energia Ltda. ","2.039","7/15/2020","7/15/2023","22°13'34,83""S","43°7'9,16""W"
"Monte Negro (Antiga Faxinal dos Santos)","PCH","DRI-PCH","PR","14.4","Iratim","Parana, Iguacu","48500.000828/2019-71","875/2020","Ravena Pesquisa Energética Ltda ","794","3/20/2019","5/20/2020","26°17'0""S","51°36'0""W"
"Monte Santo","UHE","DRS-UHE","TO","47","do Sono","Tocantins, entre os rios Parana e do Sono","48500.002721/2014-53","875/2020","Minas PCH S.A.; Energias Complementares do Brasil - Geração de Energia Elétrica S.A.; ","2725","12/14/2018","12/14/2021","9°59'10,6""S","47°36'18,38""W"
"Morro Grande","PCH","DRS-PCH","SC","15","Pelotas","Pelotas","48500.005106/2013-18","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; Cooperativa de Geração de Energia e Desenvolvimento Ltda.; ","3.545","12/16/2019","11/29/2022","28°22'19,21""S","49°48'35,47""W"
"Mosquito","PCH","DRS-PCH","GO","6.6","Mosquito","Tocantins, entre os rios Preto e Parana","48500.000157/2013-17","875/2020","JA Incorporadora Ltda.; CELG Geração e Transmissão S.A.; ","774","3/19/2020","12/13/2022","12°57'14""S","46°22'16""W"
"Mota","PCH","DRS-PCH","GO","26","Meia Ponte","Paranaiba","48500.005593/2010-76","875/2020","Minas PCH S.A.; Celg Geração & Transmissão S.A.; Sonnen Empreendimentos e Participações Ltda.","1.218","5/5/2020","1/17/2023","17°35'10,56""S","49°20'29,667""W"
"Muquilão","PCH","DRS-PCH","PR","10.9","Corumbataí","Parana, Paranapanema, Amambai e outros","48500.004720/2015-24","875/2020","Corumbataí Energia Ltda. ","1.218","5/5/2020","3/28/2023","24°14'45,1""S","51°57'21,4""W"
"Mutum","PCH","Aceito","MT","8.5","Taquari","Alto Paraguai","48500.007839/2008-20","875/2020","Fiab Participações Ltda.; AP Engenharia Ltda; ","3.140","10/22/2010","","17°59'34""S","53°24'30""W"
"Nelson José Zanelatto","PCH","DRI-PCH","RS","6.9","Fão","Taquari","48500.001080/2020-68","875/2020","Electra Power Geração de Energia S.A. ","698","3/9/2020","5/9/2021","29°12'28,97""S","52°11'4,27""W"
"Niágara","PCH","DRS-PCH","SP","22.226","Pardo","Parana, Paranapanema, Amambai e outros","48500.006503/2007-69","875/2020","Hidrotérmica S.A. ","728","3/17/2017","3/17/2020","22°53'9,996""S","49°23'10""W"
"Nova 1","PCH","DRS-PCH","MG","9.5","Ribeirão do Fetal","Urucuia - Sao Francisco","48500.005296/2011-10","875/2020","PEC Energia Ltda. ","774","3/19/2020","12/6/2022","15°19'46,01""S","46°24'13,06""W"
"Nova 2","PCH","DRS-PCH","MG","10.5","Ribeirão do Fetal","Urucuia - Sao Francisco","48500.005302/2011-21","875/2020","PEC Energia Ltda. ","774","3/19/2020","12/6/2022","15°20'25,73""S","46°22'47,52""W"
"Nova Erechim","PCH","DRS-PCH","SC","22","Chapecó","Uruguai, Chapeco,Passo Fundo e outros","48500.007834/2008-05","875/2020","Enerbios Consultoria em Energias Renováveis e Meio Ambiente Ltda.; Riu Chapecó Energia S.A.; ","2.685","10/2/2019","9/29/2022","26°54'28,49""S","52°51'34,94""W"
"Nova Franca Amaral","PCH","Registro Ativo","ES/RJ","30","Itabapoana","Alto Tocantins e rio Preto","48500.003644/2009-91","875/2020","Performance Centrais Hidrelétricas Ltda. ","Ofício nº 116/SPH","3/7/2001","","21°4'25""S","41°43'19""W"
"Nova União","UHE","Aceito","SC","32.4","Chapecozinho","Uruguai, Chapeco,Passo Fundo e outros","48500.005979/2010-88","875/2020","CPFL Energias Renováveis S.A. ","302","2/13/2012","","26°48'0""S","52°35'0""W"
"Orquídea","PCH","DRS-PCH","MT","16.5","Ariranha","Alto Paraguai","48500.001302/2011-51","875/2020","RBO Energia S.A. ","1927","7/11/2019","7/11/2022","17°45'40""S","53°36'46""W"
"Ortigueira","PCH","DRS-PCH","PR","5.1","Barra Grande","Parana, Paranapanema, Amambai e outros","48500.002234/2016-52","875/2020","Hidroelétrica Ortigueira Ltda. ","1.218","5/5/2020","3/27/2023","24°9'25""S","50°50'45""W"
"Otacílio Lucion","PCH","DRS-PCH","MT","19","Pindaituba","Madeira","48500.004715/2019-45","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; Frigorífico Nutribrás S.A.; 3) Rogel A.L. Motta – ME   4)Sr. Carlos Sérgio Arantes","2.053","7/20/2020","7/20/2023","14°56'43,030""S","59°06'35,6""W"
"Ouro Fino","PCH","DRS-PCH","MG","28.4","Santo Antônio","Doce","48500.004365/2008-64","875/2020","Minas PCH S.A. ","868","4/24/2018","4/24/2021","19°10'45""S","42°48'30""W"
"Paca Grande I","UHE","DRS-UHE","RJ/SP","45.504","Paca Grande","Litoraneas do Rio de Janeiro","48500.003562/2015-95","875/2020","EBDE Energia S.A. ","256","2/4/2020","2/4/2023","22°52'28""S","44°26'47""W"
"Paiaguá","UHE","Aceito","MT","35.2","do Sangue","Tapajos","48500.004245/2007-86","875/2020","Global Energia Elétrica S.A. ","1.792","5/25/2012","","13°12'19"" S","57°30'23"" W"
"Paiaguás","PCH","DRS-PCH","MT","23","Sepotuba","Alto Paraguai","48500.004582/2005-59","875/2020","J. Malucelli Energia S.A. ","3.151/2015 (Comunicado nº 06/2018)","","","14°40'46""S","57°45'25""W"
"Paineiras","PCH","DRS-PCH","MG","7.1","Ribeirão Jordão","Paranaiba","48500.000033/2014-59","875/2020","Autazes Empreendimentos e Participações Ltda. ","3.587","12/19/2019","8/18/2022","18º31’21’’S","48º06’12’’W"
"Painel","PCH","DRI-PCH","SC","8.6","Lava Tudo","Pelotas","48500.006884/2019-10","875/2020","Msul Energias Renováveis Ltda. ","1.190","4/30/2020","6/30/2021","28°06'46""S","50°04'54""W"
"Paiol Grande","PCH","DRS-PCH","PR","14.7","Iratim","Parana, Iguacu","48500.001868/2004-74","875/2020","CER - Companhia de Energias Renováveis ","1.318","5/18/2017","5/18/2020","26°16'25,3""S","51°39'39,2""W"
"Palmito","PCH","DRI-PCH","GO","9","São Francisco","Parana, Tiete e outros","48500.001031/2020-25","875/2020","SIGA Engenharia e Energia Ltda. ","552","2/21/2020","4/21/2021","18°16'29""S","50°25'2""W"
"Paraíso","PCH","DRS-PCH","GO","26","São Marcos","Paranaiba","48500.005410/2013-65","875/2020","Minas PCH S.A. ","2.213","7/31/2020","5/19/2023","18°8'48""S","47°42'17""W"
"Paraíso","PCH","DRS-PCH","GO","14","Ribeirão Paraíso","Alto Araguaia e rio Claro","48500.002186/2017-83","875/2020","Cachoeira Energia Ltda. ","2.223","10/30/2018","10/30/2021","16°37'18""S","52°8'43""W"
"Paraíso","PCH","DRS-PCH","MG","8.417","Gualaxo do Sul","Doce","48500.007466/2008-97","875/2020","Luzboa Quatro S.A. ","1501","7/10/2018","7/10/2021","20°23'43,84""S","43°11'49,74""W"
"Paraíso","PCH","DRS-PCH","RJ","7.2","Muriaé","Paraiba do Sul","48500.001844/2012-13","875/2020","Central Geradora Hidrelétrica Paraíso Ltda. ","3.397/2016 (Comunicado nº 08/2020)","","","21°17'53,769""S","41°45'42,456""W"
"Paraitinga","PCH","DRS-PCH","SP","6.3","Paraitinga","Paraiba do Sul","48500.000294/2014-79","875/2020","EBDE Energia S.A. ","160","1/20/2017","1/20/2020","22°54'48,25""S","44°56'50,4""W"
"Paranã","UHE","Aceito","TO","90","Paranã","Tocantins, entre os rios Preto e Parana","48500.002071/2007-09","875/2020","CELG Geração e Transmissão S.A. – CELG G&T; Alupar Investimento S.A.; TPI – Participações e Investimentos S.A..","30","1/9/2014","","12°40'4""S","47°48'46""W"
"Paranhos","UHE","DRS-UHE","PR","38","Chopim","Parana, Iguacu","48500.000680/2019-75","875/2020","Energias Renováveis MAZP Ltda. ","2.583","8/17/2020","8/17/2023","25°36'28,748""S","53°3'5,966""W"
"Paraoquena","PCH","DRS-PCH","MG","13.99","Pomba","Paraiba do Sul","48500.007049/2008-44","875/2020","Rodrigo Pedroso Energia Ltda. ","3.096/2016 (Comunicado nº 08/2020)","","","21°29'16,1""S","42°16'21,82""W"
"Paraúna 2","PCH","DRI-PCH","MG","24","Paraúna","Das Velhas - Sao Francisco","48500.004444/2015-02","875/2020","Cemig Geração e Transmissão S.A.- CEMIG GT ","3.616","11/10/2015","1/10/2017","18°38'20""S","43°57'55""W"
"Paredinha","PCH","DRS-PCH","PR","23.92","Cachoeira","Parana, Paranapanema, Amambai e outros","48500.008333/2008-38","875/2020","Januário de Napoli Geração de Energia Ltda. ","2.790","10/14/2019","11/27/2021","24°56'0,2""S","51°25'58,3""W"
"Parreiral","PCH","DRI-PCH","MG","7.75","Capivari","Grande","48500.002365/2019-82","875/2020","Diniz Fonseca Assessoria Ltda. ","1686","6/12/2019","8/12/2020","21°52'34""S","46°16'35""W"
"Passo do Irani","PCH","DRS-PCH","SC","7.6","Irani","Uruguai, Chapeco,Passo Fundo e outros","48500.003528/2014-30","875/2020","Ecoz Empreendimentos Imobiliários Ltda. e Ponte Irani Energética SPE 
Ltda. ","778","3/19/2020","2/7/2023","26°57'7,7""S","52°10'50,1""W"
"Passo Manso","PCH","DRS-PCH","SC","5.28","Itajaí do Oeste","Itajai","48500.000060/2011-89","875/2020","Heidrich Geração Elétrica Ltda. ","1945","7/7/2017","7/7/2020","27°2'10,81""S","50°7'41,79""W"
"Patos","PCH","DRS-PCH","MT","18","dos Patos","Tapajos","48500.001791/2008-46","875/2020","Duplo Onze - Sociedade Brasileira de Participações em Energia Renovável S.A.; Armazéns Gerais Vale do Verde Ltda.; Agropecuária São Domingos S.A. e L &S PAR Ltda.","621/2016 (Cautelar nº 1936/2019)","","","13°34'13""S","56°20'9""W"
"Patrimônio","PCH","DRS-PCH","PR","9.4","Corumbataí","Parana, Paranapanema, Amambai e outros","48500.005439/2015-17","875/2020","Grantec Técnica de Construção Ltda. ","2.523","9/1/2020","7/6/2023","24°8'40,61""S","51°56'43,7""W"
"Pedra Azul","PCH","DRS-PCH","SP","30","Tietê","Parana, Tiete e outros","48500.007959/2008-27","875/2020","Prata Geração de Energia Ltda. ","1.059","4/20/2020","4/20/2023","23°17'10,6""S","47°13'12,12""W"
"Pedra Branca","PCH","DRI-PCH","MS","14","Sucuriú","Alto Paraguai","48500.001628/2020-70","875/2020","Enebras Projetos de Usinas
Hidrelétricas Ltda.; Frigorífico Nutribrás S.A; ","850","3/26/2020","5/26/2021","19°15'0""S","52°48'0""W"
"Pedra Mulata","PCH","DRS-PCH","ES","9","Jucu Braço Norte","Doce","48500.003069/2015-75","875/2020","Enervix - Energias do Espírito Santo Ltda. ","2.911/2016 (Comunicado nº 14/2020)","","","20°25'18,05""S","40°32'16,15""W"
"Pedras","PCH","DRS-PCH","MG","21","Ribeirão do Fetal","Urucuia - Sao Francisco","48500.006574/2012-29","875/2020","PEC Energia Ltda. ","774","3/19/2020","12/6/2022","15°16'55,17""S","46°28'43,14""W"
"Pedreira","PCH","DRS-PCH","ES","7","Jucu Braço Norte","Doce","48500.006077/2007-63","875/2020","Construtora OMS Ltda. ","2.620","11/23/2018","11/5/2021","20°17'36""S","40°53'12,4""W"
